article_id,title,journal,abstract_present,topics,methods,data_sources,uncertainty,best_profile,best_overall,evidence,my_judgement_相关吗,my_notes
73814,A CONTEXTUAL ANALYSIS OF ARTICLE 16 OF THE IRELAND–NORTHERN IRELAND PROTOCOL,International and Comparative Law Quarterly,True,,,,True,ai_in_organizations,0.0,,,
28151,Pipeline incidents and property values,Journal of Environmental Economics and Management,True,pipeline incidents; property values; environmental economics,difference-in-differences,pipeline incident data; property transaction data,False,digital_trace_methods,3.4,A difference-in-differences analysis finds that high-profile incidents significantly decrease property values within 1000 m by 8.2% | the negative impact can persist for about eight years on average,,
93513,Frictions in an Experimental Dynamic Stochastic General Equilibrium Economy,Journal of money credit and banking,True,experimental macroeconomics; dynamic stochastic general equilibrium; monetary policy,experiment,experimental data,False,ai_in_organizations,6.7,An experimental economy with monopolistic competition and no menu costs generates empirical patterns that are closer to the U.S. economy than simulations or the other experimental environments. | Discretionary human central bankers produce lower output and welfare compared to an automated instrument,,
98771,Commentary on “Demystifying the Influential IS Legends of Positivism”,Journal of the Association for Information Systems,True,positivism in IS research; philosophy of science,commentary,,False,ai_in_organizations,0.0,this commentary fully accepts that logical positivism as a school of thought in the philosophy of science has fallen into disrepute | points out that the IS researchers who have characterized positivism in their own ways never said that they were following logical positivism,,
27477,Social Protection in the Developing World,Journal of Economic Literature,True,social protection programs; redistribution; income support; social insurance,literature review,,False,ai_in_organizations,0.0,"Social protection programs have become increasingly widespread in low- and middle-income countries, with their own distinct characteristics to match the environments in which they are operating. | We review how to identify potential beneficiaries given the large informal sector, the design and imple",,
53139,Sectoral wage gaps and gender in rural India<sup>†</sup>,American Journal of Agricultural Economics,True,sectoral wage gaps; gender inequality; rural labor markets,panel data analysis,household panel survey,False,employee_wellbeing,8.4,the wage gap across the non‐farm and farm sectors is much higher for women than for men | constraints are preventing women from reallocating their time to more remunerative wage employment opportunities,,
116540,"Factorial Designs, Model Selection, and (Incorrect) Inference in Randomized Experiments",The Review of Economics and Statistics,True,factorial designs; model selection; inference in randomized experiments,experiment; factorial design; t-test; model selection,published experiments in top-five journals,False,ai_in_organizations,7.6,"Of 27 factorial experiments published in top-five journals (2007–2017), nineteen use the short model. After including interactions, more than half of their results lose significance.",,
12491,Nonlinear global Fréchet regression for random objects via weak conditional expectation,The Annals of Statistics,True,nonlinear global Fréchet regression; random objects; weak conditional expectation,nonlinear regression; kernel methods; simulation; real data application,simulated data; real application data,False,digital_trace_methods,6.8,"(2019) 691-719) emerges as a special case of our method by choosing a linear kernel. | Numerical studies, including extensive simulations and a real application, are conducted to investigate the finite-sample performance.",,
2520,"How watching sports shapes zero-sum thinking: Correlational, experimental, and longitudinal evidence.",Journal of Personality and Social Psychology,True,sports engagement; zero-sum thinking; social cognition,correlational; experimental; longitudinal,survey,False,ai_in_organizations,0.0,watching and following sports is both correlationally and causally associated with zero-sum thinking | These effects extend beyond sports contexts to shape attitudes toward immigrants and a distributive (win-lose) orientation in negotiation,,
58678,On boosting the power of Chatterjee’s rank correlation,Biometrika,True,rank correlation; dependence measure; statistical efficiency,rank statistics; nearest neighbors,,False,ai_in_organizations,0.0,"We answer this call by proposing an improvement to Chatterjee’s rank correlation that still consistently estimates the same dependence measure, but provably achieves near-parametric efficiency in testing against Gaussian rotation alternatives.",,
97776,Rare Feature Selection in High Dimensions,Journal of the American Statistical Association,True,rare feature selection; high-dimensional prediction; text mining,rare feature aggregation; tree-based side information; alternating direction method of multipliers,TripAdvisor reviews,False,digital_trace_methods,73.9,"It is common in modern prediction problems for many predictor variables to be counts of rarely occurring events. | We show, both theoretically and empirically, that not explicitly accounting for the rareness of features can greatly reduce the effectiveness of an analysis.",,
104036,The Utilization Premium,Management Science,True,capital utilization; depreciation; expected returns; investment,empirical asset pricing; production model,firm-level financial data,False,ai_in_organizations,0.0,an investment strategy that buys (sells) equities with low (high) utilization rates earns 5% per annum | Utilization predicts excess returns beyond other production-based variables,,
24771,Lightweight Active Soft Back Exosuit for Construction Workers in Lifting Tasks,Journal of Construction Engineering and Management,True,exosuit; lifting tasks; low back pain prevention,biomechanics evaluation; human subject testing; electromyographic (EMG) signal analysis,EMG data; subject evaluation,False,employee_wellbeing,21.8,Human subject testing shows significant electromyographic (EMG) signal reduction at longissimus (LG) and multifidus (MF) with the proposed exosuit | the subject evaluation of the exosuit shows the exosuit was helpful in reducing mental and physical demand and effort,,
72649,Orchestrating distributed data governance in open social innovation,Information and Organization,True,open social innovation; distributed data governance; multi-stakeholder collaboration,essay; framework development; case reflection,case study of #WirVsVirus project,False,ai_in_organizations,8.5,"In this essay we put forward a framework consisting of three dimensions allowing an inquiry into the effectiveness of such distributed data governance: (1) openness, (2) accountability and (3) power. | We apply this framework to reflect on the OSI project #WirVsVirus",,
44395,Rethinking Corporate Groups: Insights from Systems Intentionality,Sydney Law Review,True,corporate groups; corporate responsibility; systems intentionality; parent liability,,,False,ai_in_organizations,4.5,"Corporate groups continue to present significant challenges for corporate law and regulation. | Systems Intentionality suggests that such group systems will manifest certain states of mind, typically (but not necessarily only) that of the parent.",,
7229,Liberate or Subjugate Them? The Effect of Supplier Dependence on Buyer Innovation,Journal of Product Innovation Management,True,buyer-supplier relationships; supplier dependence; buyer innovation,archival case study; survey,archival data; survey,False,ai_in_organizations,17.1,supplier dependence negatively affects buyer innovation performance | market dynamism is a significant moderator concerning buyer innovation productivity,,
58591,"The Effects of Profit-Sharing Plans, Client Importance, and Reinforcement Sensitivity on Audit Quality",Auditing A Journal of Practice & Theory,True,profit-sharing plans; audit quality; client importance; reinforcement sensitivity,experiment,experiment with 450 audit partners and managers,False,algorithmic_management,8.4,"We examine the effects of the type of profit-sharing plan, level of client importance, and auditor reinforcement sensitivity (joint sensitivity to rewards and punishments) on auditor reporting decisions. | We find the highest audit quality when profit-sharing is based on firm performance, client imp",,
8657,Lucrative infrastructure and intentional bypassing: Comparing two Chinese-financed infrastructure projects in Kenya,Urban Studies,True,infrastructure development; Chinese finance; public-private-partnership; spatial inequality,comparative case study,case study; document analysis,False,algorithmic_management,8.4,"It demonstrates how financing models redistribute risks and control among stakeholders, producing distinct spatial outcomes. | The paper argues that the shift in financing not only commodifies infrastructure but also institutionalises bypassing, as projects increasingly prioritise exclusive flows, t",,
106867,Dealing with a minor’s land in Singapore,Oxford University Commonwealth Law Journal,True,,,,True,ai_in_organizations,0.0,,,
105402,Adversarial Patrolling in a Uniform,Operations Research,True,adversarial patrolling; uniformed patroller game; security games,game-theoretic modeling,,False,ai_in_organizations,0.0,Putting a uniform on the patroller greatly reduces his effectiveness in intercepting thefts or attacks. | the visibility of a uniform may act as a deterrent to having the theft take place at all.,,
30191,Seventy years of information systems development methodologies from early business computing to the Agile era: A two-par,Journal of Information Technology,True,information systems development methodologies; history of ISD; methodology evolution,historical method,historical records,False,ai_in_organizations,7.8,We apply a historical method to follow the narrative of ISD methodology evolution in a historical context to identify central innovations and milestones that changed the environment allowing new types of ISD outcomes and processes to emerge demanding novel methodological responses.,,
2579,Corporate taxpayer responses to size-based enforcement and disclosure thresholds,Journal of Public Economics,True,corporate tax compliance; size-based enforcement thresholds; tax avoidance,bunching estimator; difference-in-differences; triple difference estimator,tax return data; audit data,False,digital_trace_methods,15.1,"corporations reduce assets by about $500,000 to avoid the $10 million asset threshold | C corporations strategically bunch below this threshold in most years from 2004 to 2010",,
90279,How Can Progressive Vouchers Help the Poor Benefit from School Choice? Evidence from the Chilean Voucher System,The Journal of Human Resources,True,school choice; educational reform; voucher system; progressive vouchers,regression discontinuity design,national data set,False,ai_in_organizations,2.5,increased vouchers by 50 percent for students in the lowest 40 percent of the income distribution | eligible students chose schools with higher test scores or socioeconomic status,,
59179,Union Membership Peaks in Midlife,British Journal of Industrial Relations,True,union membership; age and unionization; retirement and union exit,panel data analysis; descriptive statistics; cohort analysis,survey data from 68 countries,False,employee_wellbeing,10.0,union membership peaks in midlife — usually around workers’ late 40s or early 50s | the age peak in union membership is apparent across birth cohorts,,
123595,Have cycling-friendly cities achieved cycling equity? Analyses of the educational gradient in cycling in Dutch and Germa,Urban Studies,True,cycling equity; educational gradient in cycling; cycling-friendly cities,multilevel regression,survey,False,ai_in_organizations,2.5,"the effect of education is similarly large in cities with low, medium, or high overall levels of cycling | there is no automatism in the sense that higher cycling shares in general will also imply greater cycling equity",,
53067,Infrastructure Improvements and Maize Market Integration: Bridging the Zambezi in Mozambique,American Journal of Agricultural Economics,True,infrastructure improvements; market integration; transport infrastructure,dyadic regression,market price data; driving time data,False,ai_in_organizations,0.0,we identify the impact of this transport infrastructure enhancement on integration of national maize markets | we find a significant narrowing of equilibrium price differences among market pairs that experienced a large relative reduction in journey times due to the new bridge,,
52743,Environmental Preferences and Technological Choices: Is Market Competition Clean or Dirty?,American Economic Review Insights,True,environmental preferences; technological choices; clean innovation; market competition,panel data analysis; patent data analysis,patent data; environmental willingness to pay data; competition measures,False,digital_trace_methods,19.3,"We investigate the effects of consumers’ environmental concerns and market competition on firms’ decisions to innovate in “clean” technologies. | As predicted, exposure to prosocial attitudes fosters clean innovation, all the more so where competition is strong.",,
80417,Improving Effectiveness of Constraints Removal in Construction Planning Meetings: Information-Theoretic Approach,Journal of Construction Engineering and Management,True,constraints removal; construction planning meetings; information theory,case study; information-theoretic approach; Chow-Liu tree,meeting minutes; activity start/finish times,False,digital_trace_methods,51.5,Timely identification and removal of constraints is critical for improving workflow reliability. | An information-theoretic approach was used to develop a framework to measure the amount of uncertainty and information sharing among constraint discussions.,,
42031,How shareholder litigation risk influences firm orientation toward stakeholders,Strategic Management Journal,True,shareholder litigation risk; stakeholder orientation; corporate governance,quasi-experiment; difference-in-differences; event study,archival; legal databases,False,employee_wellbeing,23.6,Leveraging the staggered adoption of Universal Demand (UD) laws across states as a quasi‐experimental setting | We find that firms increase stakeholder‐focused efforts following UD law adoption,,
45526,An influence path analytic study for the operational performance of large passenger railway stations: The China case,Transportation Research Part A Policy and Practice,True,operational performance; large passenger railway stations; influence path analysis,survey; structural equation modeling,survey,False,ai_in_organizations,0.0,Survey data from two representative large passenger railway stations in China is applied to the proposed SEM-MPAM to conduct the influence path analysis.,,
10636,Substitutes or complements? The effect of opening a food store on customer visits to neighborhood food stores,American Journal of Agricultural Economics,True,food store openings; customer traffic; competitive dynamics; spatial heterogeneity,difference-in-differences; cellphone location data analysis,cellphone location data,False,digital_trace_methods,53.7,"Grocery store openings, for example, reduce visits to food‐at‐home incumbents in close proximity but affect food‐away‐from‐home incumbents over broader distances. | the reductions remain modest—generally below 5% of monthly visits—and are statistically significant for White and high‐income visitors ",,
100800,Toward an Assessment of Quality of Life Indicators as Measures of Destination Performance,Journal of Travel Research,True,quality of life indicators; destination performance; tourism,canonical correlation analysis; panel data,panel data from 105 countries,False,digital_trace_methods,9.0,"This study tests a reciprocal relationship between objective quality of life indicators and traditional destination performance measures over time. | the results showed that economic factors, along with education, and health indicators are strongly associated with performance measures of the tourism",,
92027,Covid‐19 and the Future of Family Business Research,Journal of Management Studies,True,family business; succession; Covid-19,,,False,ai_in_organizations,0.0,We identify five assumptions in the field that are challenged by Covid-19 and its aftermath | FB scholars have mostly assumed leadership succession as an intra-family process to be methodically planned and executed,,
69930,Well‐being right before and after a permanent nursing home admission,Health Economics,True,nursing home admission; well-being; aging in place,event study; inverse probability weighting; doubly robust estimation,survey; administrative data,False,employee_wellbeing,65.1,"a temporary increase in loneliness, the risk of anxiety and depression, and a loss of control over one's life | these scores revert to pre-admission levels after 6 months",,
54210,"Perinatal Health Outcomes Following a Community Health Worker–Supported Home-Visiting Program in Rochester, New York, 20",American Journal of Public Health,True,community health worker; home-visiting program; perinatal health outcomes,quasi-experimental; program evaluation; chi-square test,program data; electronic medical records,False,ai_in_organizations,0.0,"Program participants had fewer adverse outcomes than did nonparticipants, including lower rates of preterm birth (12% vs 20%; χ 2 , P = .05) and low birth weight (14% vs 22%; χ 2 , P = .05).",,
79623,Televising Justice during War,Journal of Conflict Resolution,True,state building; television and legitimacy; legal institutions; conflict,survey,survey data,False,ai_in_organizations,6.7,We estimate the impact of televising criminal proceedings on public use of government courts to resolve disputes. | We find consistent evidence of enhanced support for government courts among survey respondents who trust television following the nation’s first televised criminal trial.,,
23640,Global currency hedging with ambiguity,Journal of Banking & Finance,True,currency hedging; ambiguity aversion; portfolio optimization,closed-form solution; generalized ridge regression; out-of-sample backtest,,False,ai_in_organizations,0.0,the demand for optimal currency hedging is formulated as the solution to a generalized ridge regression | the investor’s aversion to model uncertainty increases the demand for hedging,,
23747,Regulating bank risk in a mobile labour market,Journal of Banking & Finance,True,bonus caps; bank risk; labour market mobility; talent screening; poaching,theoretical model,,False,ai_in_organizations,0.0,bonus caps can be welfare improving in banking labour markets with high mobility | This can lead to excessive risk taking,,
125,A comprehensive analysis of contributing factors in bus crashes: integrating passenger injury severity and vehicle damag,Accident Analysis & Prevention,True,bus crash severity; passenger injury; vehicle damage; copula modeling,copula model; multinomial logit; joint estimation,bus crash data from Maryland (2015-2022),False,ai_in_organizations,0.0,"the most influential variables include driver fault, airbag deployment, and safety equipment usage | vehicle damage severity is more strongly associated with vehicle type, movement status at the time of impact, and mechanical condition",,
98108,A Gibbs Sampler for a Class of Random Convex Polytopes,Journal of the American Statistical Association,True,,Gibbs sampler; Bayesian inference,,True,ai_in_organizations,0.0,,,
104196,Shortening Emergency Medical Response Time with Joint Operations of Uncrewed Aerial Vehicles with Ambulances,Manufacturing & Service Operations Management,True,uncrewed aerial vehicles; emergency medical services; response time optimization; bystander assistance,Markov decision process; approximate dynamic programming; neural network-based approximation; simulation,simulation,False,ai_in_organizations,17.2,This study aims to optimize the integration of UAVs and bystanders into EMS in order to minimize average response times for overdose interventions. | The simulation results suggest that our NN-API policy tends to outperform several noteworthy rule- and optimization-based benchmark policies in terms ,,
112542,The role of procedural rationality in debiasing acquisition decisions of overconfident CEOs,Strategic Management Journal,True,CEO overconfidence; acquisition decisions; procedural rationality; debiasing,archival; quantitative,acquisition data of publicly held US firms,False,ai_in_organizations,10.0,the pursuit of greater procedural rationality through slow‐paced predeal processes reduces the tendency of overconfident CEOs to inflate acquisition premiums. | the tendency of overconfident CEOs to overpay for acquisitions decreases under conditions in which the predeal processes are slower in pace,,
40759,“Stop the Count!”—How Reporting Partial Election Results Fuels Beliefs in Election Fraud,Psychological Science,True,election fraud beliefs; cumulative redundancy bias; partial vote count reporting,experiment; simulation; survey,Prolific survey; simulated elections; real-world vote counts from Georgia 2020,False,ai_in_organizations,9.8,participants consistently rated early leaders more favorably and were more likely to suspect fraud when the eventual winner gained a late lead | fraud suspicions already arose before the count was completed and persisted despite explanatory interventions,,
22506,Drivers of public procurement prices: Evidence from pharmaceutical markets,International Journal of Industrial Organization,True,public procurement; pharmaceutical markets; market structure; price dispersion,panel data analysis; exogenous variation; patent expiration as natural experiment,pharmaceutical purchase data from public sector in Chile,False,digital_trace_methods,6.6,market structure explains three times more dispersion than buyer effects | entry of an additional seller decreases average procurement prices by 11.7 percent,,
77583,Religion and insider trading profits,Journal of Banking & Finance,True,religion; insider trading; social norms; corporate governance,empirical analysis; regression,firm-level data; insider trading records,False,digital_trace_methods,3.4,trades by insiders in firms located in more religious areas are followed by lower profits | those insiders are less likely to trade on future earnings news,,
114403,Distributive Justice for Behavioural Welfare Economics,The Economic Journal,True,distributive justice; behavioural welfare economics; utilitarian policy,theoretical analysis,,False,ai_in_organizations,0.0,The incompleteness of behavioural preferences can lead many or even all allocations to qualify as Pareto optimal. | Utilitarian methods can be applied to groups of goods or to the multiple social welfare functions that arise when individual preferences are incomplete,,
92682,Examining the Efficacy of Time Scarcity Marketing Promotions in Online Retail,Journal of Marketing Research,True,time scarcity promotions; online retail marketing; persuasion knowledge,meta-analysis; experiment,meta-analytic data; experimental data,False,ai_in_organizations,7.4,positive effects of time scarcity promotions observed offline may not emerge in online shopping contexts | providing retailer-exogeneous justifications for online time scarcity promotions’ time restriction can increase the potential of observing positive effects on consumer interest online,,
12200,Reiterated Fact-Making: Explaining Transformation and Continuity in Scientific Facts,American Sociological Review,True,scientific fact-making; sociology of science; genetic variants,comparative-historical; mixed-methods,case studies of genetic variants,False,digital_trace_methods,20.7,"I develop a comparative-historical approach called 'reiterated fact-making' that analyzes scientific facts according to (1) the prevailing conditions of possibility; (2) the networks of expertise, social mobilization, and power built up around them; and (3) the epistemic and material path dependenci",,
75899,Marijuana liberalization and public finance: A capital market perspective on the passage of medical use laws,Journal of Accounting and Economics,True,marijuana legalization; public finance; state borrowing costs,event study; difference-in-differences,state bond spreads; state-level expenditure data,False,ai_in_organizations,8.3,We find that the staggered passage of state-level laws that legalize marijuana for medical use increases states' borrowing costs by 7–9 basis points. | Consistent with economic theory on substance use suggesting that marijuana legalization increases local consumption of the drug (by expanding its av,,
105748,Does Investor Gender Matter for the Success of Female Entrepreneurs? Gender Homophily and the Stigma of Incompetence in ,Organization Science,True,gender homophily; entrepreneurial finance; female entrepreneurship; investor gender,field study; experiment,venture-backed startups data; experimental data,False,ai_in_organizations,0.0,"firms with female founders who received funding from female rather than male VCs are two times less likely to raise additional financing | pitches by female-backed female entrepreneurs receive lower evaluations compared with all other pitches, and that this is driven by perceptions of entrepreneur c",,
82902,Diffusion copulas: Identification and estimation,Journal of Econometrics,True,nonlinear univariate diffusions; semiparametric Markov diffusion models; copula-based modeling,semiparametric estimation; kernel-based estimation; likelihood-based estimation; simulation study,US short-term interest rates; CBOE volatility index data,False,digital_trace_methods,3.4,We propose a new semiparametric approach for modelling nonlinear univariate diffusions | Likelihood-based estimators of both parametric and nonparametric components are developed and we analyse their asymptotic properties,,
27665,Recommendations for Further Reading,The Journal of Economic Perspectives,True,,,,True,ai_in_organizations,0.0,,,
7298,Learning from the storm: The impact of hurricane experience on future disaster preparedness,Journal of Risk and Uncertainty,True,natural disaster preparedness; hurricane experience; precautionary economic behavior,triple difference-in-differences; propensity score trimming; panel data analysis,household-level consumer goods purchase data,False,ai_in_organizations,0.0,"past hurricane experience significantly influences household preparedness for impending storms | experienced households prepare earlier, increasing their purchases up to a week before warnings and prioritizing essential items",,
3244,Within–Bank Holding Company Accounting Information and Internal Capital Allocation,Management Science,True,internal capital allocation; loan loss provision validity; internal information quality; bank holding companies,archival; panel,subsidiary bank filings; bank holding company data,False,digital_trace_methods,11.7,"We examine whether loan loss provision validity (i.e., the extent of loan loss provisions mapping into future charge offs) within the bank holding company (BHC) is associated with internal capital allocation efficiency. | we find that within-BHC provision validity, our measure of internal informatio",,
78905,Automated Redistricting Simulation Using Markov Chain Monte Carlo,Journal of Computational and Graphical Statistics,True,redistricting simulation; Markov chain Monte Carlo; graph-cut problem,Markov chain Monte Carlo; simulated tempering; parallel tempering; graph-cut,Pennsylvania redistricting data,False,ai_in_organizations,0.0,we formulate redistricting as a graph-cut problem and for the first time in the literature propose a new automated redistricting simulator based on Markov chain Monte Carlo | The proposed algorithm can incorporate contiguity and equal population constraints at the same time,,
14506,Tax Treaty Arbitration: An Unacceptable Surrender of National Sovereignty or an Expression of Sovereign Power?,Canadian Tax Journal/Revue fiscale canadienne,True,tax treaty arbitration; national sovereignty; mandatory arbitration; mutual agreement procedure,legal analysis; critical review,,False,ai_in_organizations,0.0,agreeing to mandatory arbitration would amount to an unacceptable surrender of sovereignty | entering into a tax treaty is an exercise of fiscal sovereignty,,
94279,Majority members misperceive even “win-win” diversity policies as unbeneficial to them.,Journal of Personality and Social Psychology,True,diversity policies; majority group perceptions; misperception; nonzero-sum policies,experiment,survey,False,ai_in_organizations,13.5,"Six studies show that majority members misperceive diversity policies as unbeneficial to their ingroup, even when policies benefit them. | Majority members perceived nonzero-sum university admission policies-policies that increase acceptance of both URM (i.e., underrepresented minority) and non-URM ",,
105501,Risk-Based Robust Statistical Learning by Stochastic Difference-of-Convex Value-Function Optimization,Operations Research,True,robust statistical learning; risk-based optimization; outlier treatment,stochastic optimization; difference-of-convex programming; sampling algorithm,,False,digital_trace_methods,9.3,risk-based robust statistical learning model | interval conditional value-at-risk (In-CVaR),,
110294,Will the benefits of fiscal devolution outweigh the costs? Considering Scotland’s new fiscal framework,Regional Studies,True,fiscal devolution; Scotland's fiscal framework,review,,True,ai_in_organizations,0.0,,,
4830,Seeing like a citizen: Experimental evidence on how empowerment affects engagement with the state,American Journal of Political Science,True,citizen empowerment; state engagement; tax compliance; randomized intervention,field experiment; randomized controlled trial,survey; administrative records,False,algorithmic_management,14.9,"We study two randomized interventions in Kinshasa, Democratic Republic of the Congo, designed to empower citizens in their negotiations with opportunistic state agents | We find that protection, and to a lesser extent information, had clear extensive margin effects, increasing the share of citizens ",,
52487,Firm Wages in a Frictional Labor Market,American Economic Journal Macroeconomics,True,wage setting; frictional labor market; within-firm equity constraints; monopsony power,theoretical model,,True,employee_wellbeing,6.0,,,
8579,Multi-agent reinforcement learning with a hybrid sequential reward feedback strategy for dynamic multi-modal traffic ass,Transportation Research Part C Emerging Technologies,True,multi-agent reinforcement learning; dynamic multi-modal traffic assignment; traveler decision-making; route choice,multi-agent reinforcement learning; mean-field multi-agent deep Q-learning; simulation,Sioux-Falls network,False,ai_in_organizations,16.2,"the hybrid sequential feedback strategy outperforms the simultaneous feedback strategy regarding convergence speed, agent reward distribution, and network flow distribution",,
29317,Security design: A review,Journal of Financial Intermediation,True,security design; optimal contractual mechanisms; corporate finance; financial intermediation; fintech,review,,False,ai_in_organizations,7.1,"Security design, which broadly speaking deals with the issue of designing optimal contractual mechanisms for overcoming various frictions between agents, is the subject of an extensive literature. | This paper presents a review of recent work on security design and is organized around the applicatio",,
9801,Breaking the institutional logic or going under - Controllers and sustainability,Accounting Auditing & Accountability Journal,True,sustainable transformation; controllers' role; institutional logics; professional jurisdiction,qualitative; job advertisement analysis; explorative survey,job advertisements; survey,False,digital_trace_methods,22.0,controllers are in a state of tension | the pressure to integrate sustainability into companies is increasing,,
55745,Buying Power: Electoral Strategy before the Secret Vote,American Political Science Review,True,clientelism; electoral strategy; political learning; broker mobilization,archival analysis; hand-coded dataset; quantitative analysis,archives of Gustavo Capanema,False,digital_trace_methods,12.8,the data demonstrate that resource flows to local machines were contingent on the deviation between actual and expected votes received in previous elections | payments to brokers were highly effective in bringing out the vote,,
126143,Solving Combinatorial Pricing Problems Using Embedded Dynamic Programming Models,INFORMS journal on computing,True,,,,True,ai_in_organizations,0.0,,,
100458,Quasi-Newton updating for large-scale distributed learning,Journal of the Royal Statistical Society Series B (Statistical Methodology),True,distributed learning; quasi-Newton methods; large-scale optimization,quasi-Newton; distributed computing,,False,ai_in_organizations,6.2,no Hessian matrix inversion or communication is needed | the resulting estimator is statistically efficient over a small number of iterations under mild conditions,,
34481,A Smoothed-Bayesian Approach to Frequency Recovery from Sketched Data,Journal of the American Statistical Association,True,frequency recovery from sketched data; Bayesian nonparametric methods; smoothed-Bayesian approach,smoothed-Bayesian approach; Bayesian nonparametric; multi-view learning,synthetic data; real data,False,digital_trace_methods,44.9,"We provide a novel statistical perspective on a classical problem at the intersection of computer science and information theory: recovering the empirical frequency of a symbol in a large discrete dataset using only a compressed representation, or sketch, obtained via random hashing. | we propose an",,
132532,Conditional Cash Transfers: The Case of<i>Progresa/Oportunidades</i>,Journal of Economic Literature,True,conditional cash transfers; poverty alleviation; human capital investment,experimental design; field experiment,survey,False,ai_in_organizations,0.0,Conditional cash transfer (CCT) programs innovate by conditioning transfers to poor families on investments in the human capital of children and other family members. | The Mexican CCT program Progresa/Oportunidades began in 1997 and has served as a model for many of the now over sixty countries wit,,
19736,"Compliance in the public versus the private realm: Economic preferences, institutional trust and COVID‐19 health behavio",Health Economics,True,compliance with health behaviors; public vs private domain; COVID-19,survey; structural equation modeling,survey,False,employee_wellbeing,23.1,"Social preferences, especially (positive) reciprocity, play an essential role in predicting compliance in the public domain but are barely relevant in the private domain. | Conversely, individuals' degree of trust in the national government matters predominantly for increasing compliance in the priv",,
79170,Conditional Particle Filters with Bridge Backward Sampling,Journal of Computational and Graphical Statistics,True,,,,True,ai_in_organizations,0.0,,,
64356,Renewable technology adoption costs and economic growth,Energy Economics,True,renewable technology adoption; energy transition; carbon tax; technology spillovers,analytical model; calibration,,False,ai_in_organizations,8.5,"We develop an analytical Integrated Assessment Model that incorporates endogenous scrapping costs resulting from new technology adoption in renewable energy | In the absence of a Pigouvian carbon tax, a second-best policy that incentivizes renewables through internalizing spillovers provides relativ",,
48038,Those who leave: Out-migration and decentralisation of welfare beneficiaries in gentrified Paris,Urban Studies,True,gentrification; out-migration; welfare beneficiaries; housing crisis; decentralisation,logistic regression; matching,Family Benefits Fund (CAF); local housing markets data,False,digital_trace_methods,13.4,"Data show that social vulnerability is associated with a greater risk of leaving Paris and that housing welfare is playing a crucial role in mitigating this risk. | the higher the pressure on local housing markets, the more social inequalities determine mobility behaviour.",,
20626,Do High Minimum Wages Harm the Progression of Minimum Wage Workers? Evidence From the <scp>United Kingdom</scp>,Industrial Relations A Journal of Economy and Society,True,minimum wage; wage progression; low-paid workers,panel data; hazard rate models,panel data,False,employee_wellbeing,16.9,"Using panel data from the United Kingdom between 2009 and 2019, we study how substantial increases in the real and relative value of the minimum wage impacted on the wage progression of covered workers. | We find that progression out of minimum wage jobs is frequent, although most workers remain low",,
78345,Using Survey Information for Improving the Density Nowcasting of U.S. GDP,Journal of Business and Economic Statistics,True,nowcasting; GDP; survey information; dynamic factor model; stochastic volatility,dynamic factor model; stochastic volatility; density nowcasting,survey expectations; U.S. GDP data,False,digital_trace_methods,10.0,"survey information bears valuable information over the baseline model for nowcasting GDP | the variation in the survey participants’ predictions, often used as a measure of 'ambiguity,' conveys crucial information beyond the mean of those predictions for capturing the tail behavior of the GDP distri",,
132941,Frontiers in Operations: A Moment for Reflection: Debiasing Service Evaluations,Manufacturing & Service Operations Management,True,service evaluation bias; star rating order; debiasing subjective measures,experiment,experiment,False,digital_trace_methods,43.9,We propose a simple intervention—reversing this order—to mitigate bias in star ratings because the process of writing provides time and space for the evaluator to reflect on their experience. | We find that collecting comments prior to star ratings mitigates the sequential bias in star ratings becau,,
3060,"Tourists’ Mindsets and the Adoption of ChatGPT for Travel Services: A Moderated-Mediation Model of Self-Efficacy, Anxiet",Journal of Travel Research,True,AI adoption in tourism; ChatGPT for travel services; mindsets and technology adoption,survey; experiment,survey,False,ai_in_organizations,77.1,"growth mindsets enhanced technological self-efficacy and reduced technological anxiety, producing more favorable ChatGPT attitudes for travel services | social influence strengthened the self-efficacy pathway while weakening the anxiety pathway",,
42522,Optimal Inference for Spot Regressions,American Economic Review,True,spot regressions; time-varying betas; high-frequency data; nonparametric estimation,nonparametric estimation; high-frequency data analysis; event study,high-frequency financial data,False,digital_trace_methods,9.0,Betas from return regressions are commonly used to measure systematic financial market risks. | We introduce a novel econometric framework for the nonparametric estimation of time-varying betas with high-frequency data.,,
116865,What Is the Active Prevalence of COVID-19?,The Review of Economics and Statistics,True,COVID-19 active prevalence estimation; sample selection correction; testing data bias,statistical method; validation study,publicly available testing data; randomized sample in Utah,False,ai_in_organizations,0.0,"We provide a method to track the active prevalence of COVID-19 in real time, correcting for time-varying sample selection in symptom-based testing data and incomplete tracking of recovered cases and fatalities. | Applying our method to all 50 states, we show that true prevalence is 2–3 times higher ",,
88055,Common ownership and innovation efficiency,Journal of Financial Economics,True,common ownership; innovation efficiency; venture capital,project-level data analysis,project-level data on pharmaceutical startups; venture capital investors,False,digital_trace_methods,17.3,"common ownership leads VCs to hold back projects, withhold funding, and redirect innovation at lagging startups | Effects are stronger where R&D costs are larger",,
